Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
59,11,"Tidakkah engkau memperhatikan orang-orang munafik? Mereka berkata kepada saudara-saudaranya yang kufur di antara Ahlulkitab, “Sungguh, jika kamu diusir, kami pasti akan keluar bersamamu dan kami selamanya tidak akan patuh kepada siapa pun demi kamu. Jika kamu diperangi, kami pasti menolongmu.” Allah bersaksi bahwa mereka benar-benar para pendusta.",tidak perhati munafik saudara saudara kufur antara ahlulkitab usir pasti keluar sama lama patuh siapa demi rang pasti tolong saksi benar benar dusta,tidakkah memperhatikan munafik saudara saudaranya kufur antara ahlulkitab diusir pasti keluar bersamamu selamanya patuh siapa demi diperangi pasti menolongmu bersaksi benar benar pendusta,tidakkah engkau memperhatikan orang orang munafik mereka berkata kepada saudara saudaranya yang kufur di antara ahlulkitab sungguh jika kamu diusir kami pasti akan keluar bersamamu dan kami selamanya tidak akan patuh kepada siapa pun demi kamu jika kamu diperangi kami pasti menolongmu allah bersaksi bahwa mereka benar benar para pendusta
59,12,"Jika mereka benar-benar diusir, orang-orang (munafik) itu tidak akan keluar bersama mereka. Jika mereka benar-benar diperangi, orang-orang (munafik) itu tidak akan menolongnya. Kalaupun menolongnya, niscaya orang-orang (munafik) itu akan berpaling (untuk lari) ke belakang, kemudian mereka tidak akan ditolong.",benar benar usir keluar sama benar benar rang tolong kalaupun tolong niscaya paling belakang tolong,benar benar diusir keluar bersama benar benar diperangi menolongnya kalaupun menolongnya niscaya berpaling belakang ditolong,jika mereka benar benar diusir orang orang itu tidak akan keluar bersama mereka jika mereka benar benar diperangi orang orang itu tidak akan menolongnya kalaupun menolongnya niscaya orang orang itu akan berpaling ke belakang kemudian mereka tidak akan ditolong
59,13,Kamu (kaum yang beriman) benar-benar lebih ditakuti di dalam hati mereka daripada Allah. Hal itu disebabkan mereka kaum yang tidak mengerti.,benar benar takut hati daripada sebab kaum erti,benar benar ditakuti hati daripada disebabkan kaum mengerti,kamu benar benar lebih ditakuti di dalam hati mereka daripada allah hal itu disebabkan mereka kaum yang tidak mengerti
59,14,"Mereka tidak akan memerangi kamu (secara) bersama-sama, kecuali di negeri-negeri yang berbenteng atau di balik tembok. Permusuhan antar sesama mereka sangat hebat. Kamu mengira bahwa mereka itu bersatu, padahal hati mereka terpecah belah. Hal itu disebabkan mereka kaum yang tidak berakal.",rang sama sama negeri negeri benteng balik tembok musuh antar sama hebat ira satu padahal hati pecah belah sebab kaum akal,memerangi bersama sama negeri negeri berbenteng balik tembok permusuhan antar sesama hebat mengira bersatu padahal hati terpecah belah disebabkan kaum berakal,mereka tidak akan memerangi kamu bersama sama kecuali di negeri negeri yang berbenteng atau di balik tembok permusuhan antar sesama mereka sangat hebat kamu mengira bahwa mereka itu bersatu padahal hati mereka terpecah belah hal itu disebabkan mereka kaum yang tidak berakal
59,15,(Kaum Yahudi itu) seperti orang-orang sebelumnya (musyrik Makkah) yang belum lama berselang telah merasakan akibat buruk perbuatannya sendiri (di dunia). Mereka akan mendapatkan azab yang pedih (di akhirat).,belum lama selang rasa akibat buruk buat sendiri dapat azab pedih,sebelumnya lama berselang merasakan akibat buruk perbuatannya sendiri mendapatkan azab pedih,seperti orang orang sebelumnya yang belum lama berselang telah merasakan akibat buruk perbuatannya sendiri mereka akan mendapatkan azab yang pedih
59,16,"(Perumpamaan bujukan orang-orang munafik kepada kaum Yahudi) seperti setan ketika berkata kepada manusia, “Kufurlah kamu!” Ketika orang itu kufur, ia berkata, “Sesungguhnya aku berlepas diri darimu karena sesungguhnya aku takut kepada Allah, Tuhan semesta alam.”",setan manusia kufur kufur lepas diri dari takut semesta alam,setan manusia kufurlah kufur berlepas diri darimu takut semesta alam,seperti setan ketika berkata kepada manusia kufurlah kamu ketika orang itu kufur ia berkata sesungguhnya aku berlepas diri darimu karena sesungguhnya aku takut kepada allah tuhan semesta alam
59,17,"Maka, kesudahan bagi keduanya (setan dan manusia yang mengikutinya) bahwa keduanya berada dalam neraka, kekal di dalamnya. Itulah balasan bagi orang-orang zalim.",sudah dua dua ada neraka kekal dalam balas zalim,kesudahan keduanya keduanya berada neraka kekal dalamnya balasan zalim,maka kesudahan bagi keduanya bahwa keduanya berada dalam neraka kekal di dalamnya itulah balasan bagi orang orang zalim
59,18,"Wahai orang-orang yang beriman, bertakwalah kepada Allah dan hendaklah setiap orang memperhatikan apa yang telah diperbuatnya untuk hari esok (akhirat). Bertakwalah kepada Allah. Sesungguhnya Allah Maha Teliti terhadap apa yang kamu kerjakan.",wahai iman takwa hendak perhati buat hari esok takwa maha teliti kerja,wahai beriman bertakwalah hendaklah memperhatikan diperbuatnya hari esok bertakwalah maha teliti kerjakan,wahai orang orang yang beriman bertakwalah kepada allah dan hendaklah setiap orang memperhatikan apa yang telah diperbuatnya untuk hari esok bertakwalah kepada allah sesungguhnya allah maha teliti terhadap apa yang kamu kerjakan
59,19,Janganlah kamu seperti orang-orang yang melupakan Allah sehingga Dia menjadikan mereka lupa kepada diri mereka sendiri. Mereka itulah orang-orang fasik.,jangan lupa dia jadi lupa diri sendiri itu fasik,janganlah melupakan dia menjadikan lupa diri sendiri itulah fasik,janganlah kamu seperti orang orang yang melupakan allah sehingga dia menjadikan mereka lupa kepada diri mereka sendiri mereka itulah orang orang fasik
59,20,Tidak sama para penghuni neraka dengan para penghuni surga. Penghuni-penghuni surga itulah orang-orang yang memperoleh kemenangan.,sama huni neraka huni surga huni huni surga oleh menang,sama penghuni neraka penghuni surga penghuni penghuni surga memperoleh kemenangan,tidak sama para penghuni neraka dengan para penghuni surga penghuni penghuni surga itulah orang orang yang memperoleh kemenangan
59,21,"Seandainya Kami turunkan Al-Qur’an ini kepada sebuah gunung, pasti kamu akan melihatnya tunduk terpecah belah karena takut kepada Allah. Perumpamaan-perumpamaan itu Kami buat untuk manusia agar mereka berpikir.",anda turun qur gunung lihat tunduk pecah belah takut umpama umpama buat manusia pikir,seandainya turunkan qur gunung melihatnya tunduk terpecah belah takut perumpamaan perumpamaan buat manusia berpikir,seandainya kami turunkan al qur an ini kepada sebuah gunung pasti kamu akan melihatnya tunduk terpecah belah karena takut kepada allah perumpamaan perumpamaan itu kami buat untuk manusia agar mereka berpikir
59,22,Dialah Allah Yang tidak ada tuhan selain Dia. (Dialah) Yang Mengetahui yang gaib dan yang nyata. Dialah Yang Maha Pengasih lagi Maha Penyayang.,dia dia tahu gaib nyata dia maha asih maha sayang,dialah dia mengetahui gaib nyata dialah maha pengasih maha penyayang,dialah allah yang tidak ada tuhan selain dia yang mengetahui yang gaib dan yang nyata dialah yang maha pengasih lagi maha penyayang
59,23,"Dialah Allah Yang tidak ada tuhan selain Dia. Dia (adalah) Maha Raja, Yang Maha Suci, Yang Maha Damai, Yang Maha Mengaruniakan keamanan, Maha Mengawasi, Yang Maha Perkasa, Yang Maha Kuasa, dan Yang Memiliki segala keagungan. Maha Suci Allah dari apa yang mereka persekutukan.",dia dia maha raja maha suci maha damai maha karunia aman maha awas maha perkasa maha kuasa segala agung maha suci sekutu,dialah dia maha raja maha suci maha damai maha mengaruniakan keamanan maha mengawasi maha perkasa maha kuasa segala keagungan maha suci persekutukan,dialah allah yang tidak ada tuhan selain dia dia maha raja yang maha suci yang maha damai yang maha mengaruniakan keamanan maha mengawasi yang maha perkasa yang maha kuasa dan yang memiliki segala keagungan maha suci allah dari apa yang mereka persekutukan
59,24,"Dialah Allah Yang Maha Pencipta, Yang Mewujudkan dari tiada, dan Yang Membentuk rupa. Dia memiliki nama-nama yang indah. Apa yang di langit dan di bumi senantiasa bertasbih kepada-Nya. Dialah Yang Maha Perkasa lagi Maha Bijaksana.",dia maha cipta wujud tiada bentuk rupa nama nama indah langit bumi senantiasa tasbih dia maha perkasa maha bijaksana,dialah maha pencipta mewujudkan tiada membentuk rupa nama nama indah langit bumi senantiasa bertasbih dialah maha perkasa maha bijaksana,dialah allah yang maha pencipta yang mewujudkan dari tiada dan yang membentuk rupa dia memiliki nama nama yang indah apa yang di langit dan di bumi senantiasa bertasbih kepada nya dialah yang maha perkasa lagi maha bijaksana
60,1,"Wahai orang-orang yang beriman. Janganlah kamu menjadikan musuh-Ku dan musuhmu sebagai teman setia. Kamu sampaikan kepada mereka (hal-hal yang seharusnya dirahasiakan) karena rasa kasih sayang (kamu kepada mereka). Padahal, mereka telah mengingkari kebenaran yang datang kepadamu. Mereka mengusir Rasul dan kamu (dari Makkah) karena kamu beriman kepada Allah, Tuhanmu. Jika kamu keluar untuk berjihad pada jalan-Ku dan mencari keridaan-Ku, (janganlah kamu berbuat demikian). Kamu memberitahukan secara rahasia (hal-hal yang seharusnya dirahasiakan) kepada mereka karena rasa kasih sayang. Aku lebih tahu tentang apa yang kamu sembunyikan dan apa yang kamu nyatakan. Siapa di antara kamu yang melakukannya sungguh telah tersesat dari jalan yang lurus.",wahai iman jangan jadi musuh musuh teman setia sampai rasa kasih sayang padahal ingkar benar datang kepada usir rasul iman tuhan keluar jihad jalan cari rida memberitahukan rahasia rasa kasih sayang tahu sembunyi nyata siapa antara laku sesat jalan lurus,wahai beriman janganlah menjadikan musuh musuhmu teman setia sampaikan rasa kasih sayang padahal mengingkari kebenaran datang kepadamu mengusir rasul beriman tuhanmu keluar berjihad jalan mencari keridaan memberitahukan rahasia rasa kasih sayang tahu sembunyikan nyatakan siapa antara melakukannya tersesat jalan lurus,wahai orang orang yang beriman janganlah kamu menjadikan musuh ku dan musuhmu sebagai teman setia kamu sampaikan kepada mereka karena rasa kasih sayang padahal mereka telah mengingkari kebenaran yang datang kepadamu mereka mengusir rasul dan kamu karena kamu beriman kepada allah tuhanmu jika kamu keluar untuk berjihad pada jalan ku dan mencari keridaan ku kamu memberitahukan secara rahasia kepada mereka karena rasa kasih sayang aku lebih tahu tentang apa yang kamu sembunyikan dan apa yang kamu nyatakan siapa di antara kamu yang melakukannya sungguh telah tersesat dari jalan yang lurus
60,2,"Jika (suatu saat) mereka menangkapmu, niscaya mereka bertindak sebagai musuh bagimu. Lalu, mereka melepaskan tangan dan lidahnya kepadamu untuk menyakiti dan mereka ingin agar kamu (kembali) kafir.",tangkap niscaya tindak musuh bagi lepas tangan lidah kepada sakit kafir,menangkapmu niscaya bertindak musuh bagimu melepaskan tangan lidahnya kepadamu menyakiti kafir,jika mereka menangkapmu niscaya mereka bertindak sebagai musuh bagimu lalu mereka melepaskan tangan dan lidahnya kepadamu untuk menyakiti dan mereka ingin agar kamu kafir
60,3,Kaum kerabatmu dan anak-anakmu tidak akan bermanfaat bagimu pada hari Kiamat. Kelak Dia akan memisahkan antara kamu. Allah Maha Melihat apa yang kamu kerjakan.,kaum kerabat anak anak manfaat bagi hari kiamat kelak pisah maha lihat kerja,kaum kerabatmu anak anakmu bermanfaat bagimu hari kiamat kelak memisahkan maha melihat kerjakan,kaum kerabatmu dan anak anakmu tidak akan bermanfaat bagimu pada hari kiamat kelak dia akan memisahkan antara kamu allah maha melihat apa yang kamu kerjakan
60,4,"Sungguh, benar-benar ada suri teladan yang baik bagimu pada (diri) Ibrahim dan orang-orang yang bersama dengannya ketika mereka berkata kepada kaumnya, “Sesungguhnya kami berlepas diri dari kamu dan dari apa yang kamu sembah selain Allah. Kami mengingkari (kekufuran)-mu dan telah nyata antara kami dan kamu ada permusuhan dan kebencian untuk selama-lamanya sampai kamu beriman kepada Allah saja.” Akan tetapi, (janganlah engkau teladani) perkataan Ibrahim kepada ayahnya,) “Sungguh, aku akan memohonkan ampunan bagimu, tetapi aku sama sekali tidak dapat menolak (siksaan) Allah terhadapmu.” (Ibrahim berkata,) “Ya Tuhan kami, hanya kepada Engkau kami bertawakal, hanya kepada Engkau kami bertobat, dan hanya kepada Engkaulah kami kembali.",benar benar suri teladan baik bagi ibrahim sama dengan kaum lepas diri sembah ingkar nyata musuh benci lama iman kata ibrahim ayah mohon ampun bagi sama sekali dapat tolak hadap tawakal hanya tobat hanya engkau,benar benar suri teladan baik bagimu ibrahim bersama dengannya kaumnya berlepas diri sembah mengingkari nyata permusuhan kebencian lamanya beriman perkataan ibrahim ayahnya memohonkan ampunan bagimu sama sekali dapat menolak terhadapmu bertawakal hanya bertobat hanya engkaulah,sungguh benar benar ada suri teladan yang baik bagimu pada ibrahim dan orang orang yang bersama dengannya ketika mereka berkata kepada kaumnya sesungguhnya kami berlepas diri dari kamu dan dari apa yang kamu sembah selain allah kami mengingkari mu dan telah nyata antara kami dan kamu ada permusuhan dan kebencian untuk selama lamanya sampai kamu beriman kepada allah saja akan tetapi perkataan ibrahim kepada ayahnya sungguh aku akan memohonkan ampunan bagimu tetapi aku sama sekali tidak dapat menolak allah terhadapmu ya tuhan kami hanya kepada engkau kami bertawakal hanya kepada engkau kami bertobat dan hanya kepada engkaulah kami kembali
60,5,"Ya Tuhan kami, janganlah Engkau jadikan kami (sasaran) fitnah bagi orang-orang kafir. Ampunilah kami, ya Tuhan kami. Sesungguhnya Engkau Yang Maha Perkasa lagi Maha Bijaksana.”",jangan jadi fitnah kafir ampun maha perkasa maha bijaksana,janganlah jadikan fitnah kafir ampunilah maha perkasa maha bijaksana,ya tuhan kami janganlah engkau jadikan kami fitnah bagi orang orang kafir ampunilah kami ya tuhan kami sesungguhnya engkau yang maha perkasa lagi maha bijaksana
60,6,"Sungguh pada mereka itu (Ibrahim dan umatnya) benar-benar terdapat suri teladan yang baik bagimu, (yaitu) bagi orang yang mengharap (pahala) Allah dan (keselamatan pada) hari Kemudian. Siapa yang berpaling, sesungguhnya Allah, Dialah Yang Maha Kaya lagi Maha Terpuji.",benar benar dapat suri teladan baik bagi harap hari siapa paling dia maha kaya maha puji,benar benar terdapat suri teladan baik bagimu mengharap hari siapa berpaling dialah maha kaya maha terpuji,sungguh pada mereka itu benar benar terdapat suri teladan yang baik bagimu bagi orang yang mengharap allah dan hari kemudian siapa yang berpaling sesungguhnya allah dialah yang maha kaya lagi maha terpuji
60,7,Mudah-mudahan Allah menimbulkan kasih sayang di antara kamu dengan orang-orang yang pernah kamu musuhi di antara mereka. Allah Maha Kuasa dan Allah Maha Pengampun lagi Maha Penyayang.,mudah mudah timbul kasih sayang antara pernah musuh antara maha kuasa maha kam maha sayang,mudah mudahan menimbulkan kasih sayang antara pernah musuhi antara maha kuasa maha pengampun maha penyayang,mudah mudahan allah menimbulkan kasih sayang di antara kamu dengan orang orang yang pernah kamu musuhi di antara mereka allah maha kuasa dan allah maha pengampun lagi maha penyayang
60,8,Allah tidak melarang kamu berbuat baik dan berlaku adil terhadap orang-orang yang tidak memerangimu dalam urusan agama dan tidak mengusir kamu dari kampung halamanmu. Sesungguhnya Allah mencintai orang-orang yang berlaku adil.,larang buat baik laku adil merang urus agama usir kampung halaman cinta laku adil,melarang berbuat baik berlaku adil memerangimu urusan agama mengusir kampung halamanmu mencintai berlaku adil,allah tidak melarang kamu berbuat baik dan berlaku adil terhadap orang orang yang tidak memerangimu dalam urusan agama dan tidak mengusir kamu dari kampung halamanmu sesungguhnya allah mencintai orang orang yang berlaku adil
60,9,"Sesungguhnya Allah hanya melarangmu (berteman akrab) dengan orang-orang yang memerangimu dalam urusan agama,  mengusirmu dari kampung halamanmu, dan membantu (orang lain) dalam mengusirmu. Siapa yang menjadikan mereka sebagai teman akrab, mereka itulah orang-orang yang zalim.",larang merang urus agama usir kampung halaman bantu usir siapa jadi teman akrab itu zalim,melarangmu memerangimu urusan agama mengusirmu kampung halamanmu membantu mengusirmu siapa menjadikan teman akrab itulah zalim,sesungguhnya allah hanya melarangmu dengan orang orang yang memerangimu dalam urusan agama mengusirmu dari kampung halamanmu dan membantu dalam mengusirmu siapa yang menjadikan mereka sebagai teman akrab mereka itulah orang orang yang zalim
60,10,"Wahai orang-orang yang beriman, apabila perempuan-perempuan mukmin datang berhijrah kepadamu, hendaklah kamu uji (keimanan) mereka. Allah lebih tahu tentang keimanan mereka. Jika kamu telah mengetahui (keadaan) mereka bahwa mereka (benar-benar sebagai) perempuan-perempuan mukmin, janganlah kamu kembalikan mereka kepada orang-orang kafir (suami mereka). Mereka tidak halal bagi orang-orang kafir itu dan orang-orang kafir itu tidak halal pula bagi mereka. Berikanlah kepada (suami) mereka mahar yang telah mereka berikan. Tidak ada dosa bagimu menikahi mereka apabila kamu membayar mahar kepada mereka. Janganlah kamu tetap berpegang pada tali (pernikahan) dengan perempuan-perempuan kafir. Hendaklah kamu meminta kembali (dari orang-orang kafir) mahar yang telah kamu berikan (kepada istri yang kembali kafir). Hendaklah mereka (orang-orang kafir) meminta kembali mahar yang telah mereka bayar (kepada mantan istrinya yang telah beriman). Demikianlah hukum Allah yang ditetapkan-Nya di antara kamu. Allah Maha Mengetahui lagi Maha Bijaksana.",wahai iman apabila perempuan perempuan mukmin datang hijrah kepada hendak uji tahu iman tahu perempuan perempuan mukmin jangan kembali kafir halal kafir kafir halal bagi beri mahar ikan ada dosa bagi nikah apabila bayar mahar jangan tetap pegang tali perempuan perempuan kafir hendak minta mahar ikan hendak minta mahar bayar demikian hukum tetap antara maha tahu maha bijaksana,wahai beriman apabila perempuan perempuan mukmin datang berhijrah kepadamu hendaklah uji tahu keimanan mengetahui perempuan perempuan mukmin janganlah kembalikan kafir halal kafir kafir halal bagi berikanlah mahar berikan ada dosa bagimu menikahi apabila membayar mahar janganlah tetap berpegang tali perempuan perempuan kafir hendaklah meminta mahar berikan hendaklah meminta mahar bayar demikianlah hukum ditetapkan antara maha mengetahui maha bijaksana,wahai orang orang yang beriman apabila perempuan perempuan mukmin datang berhijrah kepadamu hendaklah kamu uji mereka allah lebih tahu tentang keimanan mereka jika kamu telah mengetahui mereka bahwa mereka perempuan perempuan mukmin janganlah kamu kembalikan mereka kepada orang orang kafir mereka tidak halal bagi orang orang kafir itu dan orang orang kafir itu tidak halal pula bagi mereka berikanlah kepada mereka mahar yang telah mereka berikan tidak ada dosa bagimu menikahi mereka apabila kamu membayar mahar kepada mereka janganlah kamu tetap berpegang pada tali dengan perempuan perempuan kafir hendaklah kamu meminta kembali mahar yang telah kamu berikan hendaklah mereka meminta kembali mahar yang telah mereka bayar demikianlah hukum allah yang ditetapkan nya di antara kamu allah maha mengetahui lagi maha bijaksana
60,11,"Jika ada sesuatu (pengembalian mahar) yang belum kamu selesaikan dari istri-istrimu yang lari kepada orang-orang kafir, lalu kamu dapat mengalahkan mereka, berikanlah (dari harta rampasan) kepada orang-orang yang istrinya lari itu sebanyak mahar yang telah mereka berikan.) Bertakwalah kepada Allah yang kepada-Nya kamu beriman.",ada selesai istri istri lari kafir kalah beri istri lari banyak mahar ikan takwa iman,ada selesaikan istri istrimu lari kafir mengalahkan berikanlah istrinya lari sebanyak mahar berikan bertakwalah beriman,jika ada sesuatu yang belum kamu selesaikan dari istri istrimu yang lari kepada orang orang kafir lalu kamu dapat mengalahkan mereka berikanlah kepada orang orang yang istrinya lari itu sebanyak mahar yang telah mereka berikan bertakwalah kepada allah yang kepada nya kamu beriman
60,12,"Wahai Nabi, apabila perempuan-perempuan mukmin datang kepadamu untuk mengadakan baiat (janji setia) bahwa mereka tidak akan mempersekutukan sesuatu apa pun dengan Allah, tidak akan mencuri, tidak akan berzina, tidak akan membunuh anak-anaknya, tidak akan berbuat dusta yang mereka ada-adakan antara tangan dan kaki mereka) dan tidak akan mendurhakaimu dalam urusan yang baik, terimalah baiat mereka dan mohonkanlah ampunan untuk mereka kepada Allah. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.",wahai nabi apabila perempuan perempuan mukmin datang kepada ada baiat sekutu curi zina bunuh anak anak buat dusta adakan tangan kaki durhaka urus baik terima baiat mohon ampun maha kam maha sayang,wahai nabi apabila perempuan perempuan mukmin datang kepadamu mengadakan baiat mempersekutukan mencuri berzina membunuh anak anaknya berbuat dusta adakan tangan kaki mendurhakaimu urusan baik terimalah baiat mohonkanlah ampunan maha pengampun maha penyayang,wahai nabi apabila perempuan perempuan mukmin datang kepadamu untuk mengadakan baiat bahwa mereka tidak akan mempersekutukan sesuatu apa pun dengan allah tidak akan mencuri tidak akan berzina tidak akan membunuh anak anaknya tidak akan berbuat dusta yang mereka ada adakan antara tangan dan kaki mereka dan tidak akan mendurhakaimu dalam urusan yang baik terimalah baiat mereka dan mohonkanlah ampunan untuk mereka kepada allah sesungguhnya allah maha pengampun lagi maha penyayang
60,13,"Wahai orang-orang yang beriman, janganlah kamu jadikan kaum yang dimurkai Allah sebagai teman-teman akrab. Sungguh, mereka telah putus asa terhadap akhirat sebagaimana orang-orang kafir yang telah berada dalam kubur juga berputus asa (dari rahmat Allah di akhirat).",wahai iman jangan jadi kaum murka teman teman akrab putus asa akhirat bagaimana kafir ada kubur putus asa,wahai beriman janganlah jadikan kaum dimurkai teman teman akrab putus asa akhirat sebagaimana kafir berada kubur berputus asa,wahai orang orang yang beriman janganlah kamu jadikan kaum yang dimurkai allah sebagai teman teman akrab sungguh mereka telah putus asa terhadap akhirat sebagaimana orang orang kafir yang telah berada dalam kubur juga berputus asa
61,1,Apa yang ada di langit dan apa yang ada di bumi bertasbih kepada Allah. Dialah Yang Maha Perkasa lagi Maha Bijaksana.,ada langit ada bumi tasbih dia maha perkasa maha bijaksana,ada langit ada bumi bertasbih dialah maha perkasa maha bijaksana,apa yang ada di langit dan apa yang ada di bumi bertasbih kepada allah dialah yang maha perkasa lagi maha bijaksana
61,2,"Wahai orang-orang yang beriman, mengapa kamu mengatakan sesuatu yang tidak kamu kerjakan?",wahai iman kerja,wahai beriman kerjakan,wahai orang orang yang beriman mengapa kamu mengatakan sesuatu yang tidak kamu kerjakan
61,3,Sangat besarlah kemurkaan di sisi Allah bahwa kamu mengatakan apa yang tidak kamu kerjakan.,besar murka sisi kerja,besarlah kemurkaan sisi kerjakan,sangat besarlah kemurkaan di sisi allah bahwa kamu mengatakan apa yang tidak kamu kerjakan
61,4,"Sesungguhnya Allah mencintai orang-orang yang berperang di jalan-Nya dalam satu barisan, seakan-akan mereka suatu bangunan yang tersusun kukuh.",cinta perang jalan satu baris akan bangun susun kukuh,mencintai berperang jalan satu barisan seakan bangunan tersusun kukuh,sesungguhnya allah mencintai orang orang yang berperang di jalan nya dalam satu barisan seakan akan mereka suatu bangunan yang tersusun kukuh
61,5,"(Ingatlah) ketika Musa berkata kepada kaumnya, “Wahai kaumku, mengapa kamu menyakitiku? Padahal, kamu sungguh mengetahui bahwa aku adalah utusan Allah kepadamu.” Maka, ketika mereka berpaling (dari perintah Allah), Allah memalingkan hati mereka (dari kebenaran).) Allah tidak memberi petunjuk kepada kaum yang fasik.",musa kaum wahai kaum sakit padahal tahu utus kepada paling maling hati beri tunjuk kaum fasik,musa kaumnya wahai kaumku menyakitiku padahal mengetahui utusan kepadamu berpaling memalingkan hati memberi petunjuk kaum fasik,ketika musa berkata kepada kaumnya wahai kaumku mengapa kamu menyakitiku padahal kamu sungguh mengetahui bahwa aku adalah utusan allah kepadamu maka ketika mereka berpaling allah memalingkan hati mereka allah tidak memberi petunjuk kepada kaum yang fasik
61,6,"(Ingatlah) ketika Isa putra Maryam berkata, “Wahai Bani Israil, sesungguhnya aku adalah utusan Allah kepadamu untuk membenarkan kitab (yang turun) sebelumku, yaitu Taurat, dan memberi kabar gembira tentang seorang utusan Allah yang akan datang setelahku yang namanya Ahmad (Nabi Muhammad).”  Akan tetapi, ketika utusan itu datang kepada mereka dengan membawa bukti-bukti yang nyata, mereka berkata, “Ini adalah sihir yang nyata.”",isa putra maryam wahai bani israil utus kepada benar kitab belum taurat beri kabar gembira orang utus datang telah nama ahmad utus datang bawa bukti bukti nyata sihir nyata,isa putra maryam wahai bani israil utusan kepadamu membenarkan kitab sebelumku taurat memberi kabar gembira seorang utusan datang setelahku namanya ahmad utusan datang membawa bukti bukti nyata sihir nyata,ketika isa putra maryam berkata wahai bani israil sesungguhnya aku adalah utusan allah kepadamu untuk membenarkan kitab sebelumku yaitu taurat dan memberi kabar gembira tentang seorang utusan allah yang akan datang setelahku yang namanya ahmad akan tetapi ketika utusan itu datang kepada mereka dengan membawa bukti bukti yang nyata mereka berkata ini adalah sihir yang nyata
61,7,"Siapakah yang lebih zalim daripada orang yang mengada-adakan kebohongan terhadap Allah, padahal dia diseru kepada (agama) Islam? Allah tidak memberi petunjuk kepada kaum yang zalim.",siapa zalim ada adakan bohong padahal seru islam beri tunjuk kaum zalim,siapakah zalim mengada adakan kebohongan padahal diseru islam memberi petunjuk kaum zalim,siapakah yang lebih zalim daripada orang yang mengada adakan kebohongan terhadap allah padahal dia diseru kepada islam allah tidak memberi petunjuk kepada kaum yang zalim
61,8,"Mereka hendak memadamkan cahaya (agama) Allah dengan mulut mereka, sedangkan Allah tetap menyempurnakan cahaya-Nya walaupun orang-orang kafir tidak menyukai.",hendak madam cahaya mulut tetap sempurna cahaya kafir suka,hendak memadamkan cahaya mulut tetap menyempurnakan cahaya kafir menyukai,mereka hendak memadamkan cahaya allah dengan mulut mereka sedangkan allah tetap menyempurnakan cahaya nya walaupun orang orang kafir tidak menyukai
61,9,Dialah yang mengutus Rasul-Nya dengan (membawa) petunjuk dan agama yang benar agar Dia mengunggulkannya atas semua agama walaupun orang-orang musyrik tidak menyukai.,dia utus rasul tunjuk agama benar dia unggul atas agama musyrik suka,dialah mengutus rasul petunjuk agama benar dia mengunggulkannya atas agama musyrik menyukai,dialah yang mengutus rasul nya dengan petunjuk dan agama yang benar agar dia mengunggulkannya atas semua agama walaupun orang orang musyrik tidak menyukai
61,10,"Wahai orang-orang yang beriman, maukah kamu Aku tunjukkan suatu perdagangan yang (dapat) menyelamatkan kamu dari azab yang pedih?",wahai iman mau tunjuk dagang selamat azab pedih,wahai beriman maukah tunjukkan perdagangan menyelamatkan azab pedih,wahai orang orang yang beriman maukah kamu aku tunjukkan suatu perdagangan yang menyelamatkan kamu dari azab yang pedih
61,11,(Caranya) kamu beriman kepada Allah dan Rasul-Nya dan berjihad di jalan Allah dengan harta dan jiwamu. Yang demikian itu lebih baik bagimu jika kamu mengetahui.,iman rasul jihad jalan harta jiwa demikian baik bagi tahu,beriman rasul berjihad jalan harta jiwamu demikian baik bagimu mengetahui,kamu beriman kepada allah dan rasul nya dan berjihad di jalan allah dengan harta dan jiwamu yang demikian itu lebih baik bagimu jika kamu mengetahui
61,12,"(Jika kamu beriman dan berjihad,) niscaya Allah mengampuni dosa-dosamu dan memasukkanmu ke dalam surga yang mengalir di bawahnya sungai-sungai dan ke tempat-tempat tinggal yang baik di dalam surga ‘Adn. Itulah kemenangan yang agung.",niscaya ampun dosa dosa masuk surga alir bawah sungai sungai tempat tempat tinggal baik surga adn menang agung,niscaya mengampuni dosa dosamu memasukkanmu surga mengalir bawahnya sungai sungai tempat tempat tinggal baik surga adn kemenangan agung,niscaya allah mengampuni dosa dosamu dan memasukkanmu ke dalam surga yang mengalir di bawahnya sungai sungai dan ke tempat tempat tinggal yang baik di dalam surga adn itulah kemenangan yang agung
61,13,"(Ada balasan) lain yang kamu sukai, (yaitu) pertolongan dari Allah dan kemenangan yang dekat (waktunya). Sampaikanlah berita gembira kepada orang-orang mukmin.",suka tolong menang dekat sampai berita gembira mukmin,sukai pertolongan kemenangan dekat sampaikanlah berita gembira mukmin,lain yang kamu sukai pertolongan dari allah dan kemenangan yang dekat sampaikanlah berita gembira kepada orang orang mukmin
